,home,place,match_id,team_name,score,overs,rr,bata,batsr,bbp,balla,eco,ballsr,dbp,wickets_lost,sum_extras,nb,w,lb,pen,b,datetime,winner
32,1,Mahinda Rajapaksa International Cricket Stadium,102978,Afghanistan,300,50,6.0,60.0,87.93571428571428,26.95989517067389,43.5,5.942000000000001,42.41666666666667,43.813559322033896,5,18,2.0,5.0,11.0,0.0,0.0,2023-08-24 09:30:00,0
33,0,Mahinda Rajapaksa International Cricket Stadium,102978,Pakistan,302,49.5,6.06,33.55555555555556,105.91454545454545,29.791306547688347,45.0,5.841666666666666,48.0,50.94797178130512,9,30,0.0,24.0,6.0,0.0,0.0,2023-08-24 09:30:00,1
34,1,R.Premadasa Stadium,102979,Afghanistan,209,48.4,4.29,20.9,58.51,31.09413274854451,38.0,5.1866666666666665,43.8,55.2336860670194,10,14,0.0,4.0,5.0,0.0,5.0,2023-08-26 09:30:00,0
35,0,R.Premadasa Stadium,102979,Pakistan,268,50,5.36,33.5,100.979,37.973638331061736,15.3,3.795,22.4,67.20013835674754,8,17,1.0,9.0,2.0,0.0,5.0,2023-08-26 09:30:00,1
36,1,Mahinda Rajapaksa International Cricket Stadium,102980,Afghanistan,59,19.2,3.05,5.9,36.51,25.0,21.2,4.554285714285714,27.0,49.83843537414965,10,8,0.0,6.0,2.0,0.0,0.0,2023-08-22 09:30:00,0
37,0,Mahinda Rajapaksa International Cricket Stadium,102980,Pakistan,201,47.1,4.26,20.1,53.99636363636363,17.38050656083443,5.025,2.698,13.9,76.12280701754386,10,18,0.0,18.0,0.0,0.0,0.0,2023-08-22 09:30:00,1
38,1,Khan Shaheb Osman Ali Stadium,2365,Afghanistan,176,47.2,3.71,17.6,49.984,28.09379509379509,22.666666666666668,5.236,25.0,53.49074074074074,10,13,0.0,5.0,0.0,0.0,8.0,2014-02-27 08:00:00,0
39,0,Khan Shaheb Osman Ali Stadium,2365,Pakistan,248,50,4.96,31.0,78.00999999999999,36.339840551605256,18.791666666666668,3.71,33.083333333333336,64.28591470258137,8,5,1.0,2.0,2.0,0.0,0.0,2014-02-27 08:00:00,1
40,1,Khan Shaheb Osman Ali Stadium,2367,Bangladesh,222,47.5,4.64,22.2,52.09909090909091,22.0567585368284,40.333333333333336,4.11,50.0,63.46938775510204,10,12,0.0,6.0,2.0,0.0,4.0,2014-03-01 08:00:00,0
41,0,Khan Shaheb Osman Ali Stadium,2367,Afghanistan,254,50,5.08,42.333333333333336,62.97142857142857,30.19400352733686,24.23333333333333,4.603333333333334,30.266666666666666,58.441091954022994,6,17,0.0,10.0,6.0,0.0,1.0,2014-03-01 08:00:00,1
42,1,Sher-e-Bangla National Cricket Stadium,2369,Afghanistan,124,38.4,3.2,12.4,46.21777777777778,28.289588289588288,38.833333333333336,4.548571428571429,44.333333333333336,52.9076479076479,10,9,0.0,7.0,2.0,0.0,0.0,2014-03-03 08:00:00,0
43,0,Sher-e-Bangla National Cricket Stadium,2369,Sri Lanka,253,50,5.06,42.16666666666666,79.3875,29.719098840615864,10.708333333333332,3.27,21.0,72.92446633825944,6,18,2.0,6.0,6.0,0.0,4.0,2014-03-03 08:00:00,1
44,1,Sher-e-Bangla National Cricket Stadium,2371,Afghanistan,159,45.2,3.5,15.9,45.2,29.590923901774342,28.0,5.873333333333332,45.0,48.26923076923077,10,14,0.0,12.0,2.0,0.0,0.0,2014-03-05 08:00:00,0
45,0,Sher-e-Bangla National Cricket Stadium,2371,India,160,32.2,4.94,80.0,78.6325,37.93650793650794,15.958333333333334,3.626,29.25,72.26515151515153,2,5,1.0,3.0,1.0,0.0,0.0,2014-03-05 08:00:00,1
46,1,Sher-e-Bangla National Cricket Stadium,4414,Bangladesh,265,50,5.3,26.5,77.58818181818182,20.258309495846152,30.95,5.463333333333334,37.2,50.31635802469136,10,12,0.0,10.0,1.0,0.0,1.0,2016-09-25 08:30:00,1
47,0,Sher-e-Bangla National Cricket Stadium,4414,Afghanistan,258,50,5.16,25.8,88.65636363636362,36.331904755348646,33.95,5.26,39.0,49.333333333333336,10,16,0.0,13.0,2.0,0.0,1.0,2016-09-25 08:30:00,0
48,1,Sher-e-Bangla National Cricket Stadium,4415,Bangladesh,208,49.2,4.21,20.8,52.6690909090909,34.489664446320795,22.4375,4.778571428571429,33.25,62.59637188208616,10,17,1.0,8.0,7.0,0.0,1.0,2016-09-28 08:30:00,0
49,0,Sher-e-Bangla National Cricket Stadium,4415,Afghanistan,212,49.4,4.26,26.5,92.478,48.97041304560101,22.03333333333333,4.2,32.4,63.0031179138322,8,7,0.0,5.0,2.0,0.0,0.0,2016-09-28 08:30:00,1
50,1,Sher-e-Bangla National Cricket Stadium,4416,Bangladesh,279,50,5.58,34.875,94.716,35.868922370417884,14.3,4.23,22.8,65.71428571428571,8,12,1.0,8.0,2.0,0.0,1.0,2016-10-01 08:30:00,1
51,0,Sher-e-Bangla National Cricket Stadium,4416,Afghanistan,138,33.5,4.07,13.8,55.52818181818182,32.11464708790913,35.5,6.395714285714285,38.4,45.55555555555555,10,5,0.0,4.0,0.0,0.0,1.0,2016-10-01 08:30:00,0
52,1,Bristol County Ground,8195,Afghanistan,207,38.2,5.4,20.7,78.27,49.55446435081049,43.0,6.073333333333333,35.666666666666664,50.70482120051086,10,12,1.0,8.0,3.0,0.0,0.0,2019-06-01 12:30:00,0
53,0,Bristol County Ground,8195,Australia,209,34.5,6.0,69.66666666666667,150.884,51.51424355918739,20.708333333333336,5.3,23.83333333333333,64.93197278911565,3,17,2.0,14.0,1.0,0.0,0.0,2019-06-01 12:30:00,1
54,1,Cardiff Wales Stadium,8198,Afghanistan,152,32.4,4.65,15.2,67.34181818181818,37.34270203247131,21.5,5.760000000000001,24.25,52.599065630980526,10,17,1.0,15.0,0.0,0.0,1.0,2019-06-04 09:30:00,0
55,0,Cardiff Wales Stadium,8198,Sri Lanka,201,36.5,5.45,20.1,52.548181818181824,28.214452214452216,16.9375,5.033333333333333,21.708333333333336,59.73765432098765,10,35,3.0,22.0,10.0,0.0,0.0,2019-06-04 09:30:00,1
